id,store_id,name,description,price,category,image_url
1,1,땅콩 카라멜 라떼,꼬숩 땅콩에 진득 카라멜 환장해 증말,4900,,
2,1,쌍화 밀크티,진한 쌍화에 꿀과 우유로 세련미 풀장착,5400,,
3,1,생강 밀크티,K-패치 완료된 진저브레드 라떼. 완전 찐해,5400,,
4,1,쌍화차,9가지 약재로 더 진하고 달큰하게. 무병장수 각,5400,,
5,1,생강차,무설탕 찐생강 100% 꽉꽉 눌러담은 진.짜.생.강.차,5400,,
6,1,멕시칸 풀드포크 나초,"바삭 나초와 쫄깃 풀드포크,, 과카몰리 까지 박수쳐",7000,,
7,1,멕시칸 풀드포크 핫도그,멕시코 유학갔을때가 생각나는 풀드포크 핫도그,6500,,
8,1,초코 크림 소금빵,소금빵의 시커먼 속이 달콤한 초코라면 믿으시나요,5000,,
9,1,바닐라 크림 소금빵,소금빵 속 부드러운 바닐라 크림에 도파민 팡팡,5000,,
10,1,아메리카노,스페셜티 블렌드 원두로 더 고소한 아메리카노,1900,,
